system;group;name;name;type;description;nullable;precision
system0;group0;name0;name0;type0;description0;0;precision0
system0;group0;name0;name1;type1;description1;1;precision1
system0;group0;name0;name2;type2;description2;0;precision2
system0;group0;name0;name3;type3;description3;1;precision3
system0;group0;name0;name4;type4;description4;0;precision4
system0;group0;name0;name5;type5;description5;1;precision5
system0;group0;name0;name6;type6;description6;0;precision6
system0;group0;name0;name7;type7;description7;1;precision7
system0;group0;name0;name8;type8;description8;0;precision8
system0;group0;name0;name9;type9;description9;1;precision9
system0;group0;name0;name10;type10;description10;0;precision10
system0;group0;name0;name11;type11;description11;1;precision11
system0;group0;name0;name12;type12;description12;0;precision12
system0;group0;name0;name13;type13;description13;1;precision13
system0;group0;name0;name14;type14;description14;0;precision14
system0;group0;name0;name15;type15;description15;1;precision15
system0;group0;name0;name16;type16;description16;0;precision16
system0;group0;name0;name17;type17;description17;1;precision17
system0;group0;name0;name18;type18;description18;0;precision18
system0;group0;name0;name19;type19;description19;1;precision19
system0;group0;name0;name20;type20;description20;0;precision20
system0;group0;name0;name21;type21;description21;1;precision21
system0;group0;name0;name22;type22;description22;0;precision22
system0;group0;name0;name23;type23;description23;1;precision23
system0;group0;name0;name24;type24;description24;0;precision24
system0;group0;name0;name25;type25;description25;1;precision25
system0;group0;name0;name26;type26;description26;0;precision26
system0;group0;name0;name27;type27;description27;1;precision27
system0;group0;name0;name28;type28;description28;0;precision28
system0;group0;name0;name29;type29;description29;1;precision29
system0;group0;name0;name30;type30;description30;0;precision30
system0;group0;name0;name31;type31;description31;1;precision31
system0;group0;name0;name32;type32;description32;0;precision32
system0;group0;name0;name33;type33;description33;1;precision33
system0;group0;name0;name34;type34;description34;0;precision34
system0;group0;name0;name35;type35;description35;1;precision35
system0;group0;name0;name36;type36;description36;0;precision36
system0;group0;name0;name37;type37;description37;1;precision37
system0;group0;name0;name38;type38;description38;0;precision38
system0;group0;name0;name39;type39;description39;1;precision39
system0;group0;name0;name40;type40;description40;0;precision40
system0;group0;name0;name41;type41;description41;1;precision41
system0;group0;name0;name42;type42;description42;0;precision42
system0;group0;name0;name43;type43;description43;1;precision43
system0;group0;name0;name44;type44;description44;0;precision44
system0;group0;name0;name45;type45;description45;1;precision45
system0;group0;name0;name46;type46;description46;0;precision46
system0;group0;name0;name47;type47;description47;1;precision47
system0;group0;name0;name48;type48;description48;0;precision48
system0;group0;name0;name49;type49;description49;1;precision49
system1;group1;name1;name0;type0;description0;0;precision0
system1;group1;name1;name1;type1;description1;1;precision1
system1;group1;name1;name2;type2;description2;0;precision2
system1;group1;name1;name3;type3;description3;1;precision3
system1;group1;name1;name4;type4;description4;0;precision4
